PRECINCT,BEAT,HOMICIDE,RAPE,ROBBERY,ASSAULT,VIOLENT_CRIMES_TOTAL,BURGLARY,LARCENY_THEFT,VEHICLE_THEFT,PROPERTY_CRIMES_TOTAL,MAJOR_CRIMES_TOTAL,REPORT_DATE
EAST,C2,0,0,4,7,11,5,39,6,50,61,11/30/2014
EAST,C3,0,0,3,3,6,16,32,7,55,61,11/30/2014
EAST,E1,0,1,2,4,7,16,26,5,47,54,11/30/2014
EAST,E2,0,1,3,7,11,5,93,6,104,115,11/30/2014
EAST,E3,0,0,4,5,9,2,24,6,32,41,11/30/2014
EAST,G1,0,0,3,2,5,5,34,5,44,49,11/30/2014
EAST,G2,0,0,3,6,9,11,53,9,73,82,11/30/2014
EAST,G3,0,0,2,2,4,18,35,2,55,59,11/30/2014
SOUTH,,0,2,21,21,44,111,270,79,460,504,11/30/2014
SOUTH,O1,0,0,1,3,4,15,38,11,64,68,11/30/2014
SOUTH,O2,0,0,1,1,2,8,43,2,53,55,11/30/2014
SOUTH,O3,0,1,0,1,2,5,16,5,26,28,11/30/2014
SOUTH,R1,0,0,2,1,3,11,43,10,64,67,11/30/2014
SOUTH,R2,0,1,4,3,8,20,24,6,50,58,11/30/2014
SOUTH,R3,0,0,5,8,13,23,33,18,74,87,11/30/2014
SOUTH,S1,0,0,4,3,7,5,24,10,39,46,11/30/2014
SOUTH,S2,0,0,1,1,2,15,29,14,58,60,11/30/2014
SOUTH,S3,0,0,3,0,3,9,20,3,32,35,11/30/2014
SW,,0,1,12,16,29,57,143,45,245,274,11/30/2014
SW,F1,0,0,3,3,6,6,23,7,36,42,11/30/2014
SW,F2,0,0,3,2,5,11,27,7,45,50,11/30/2014
SW,F3,0,0,2,5,7,13,20,16,49,56,11/30/2014
SW,W1,0,0,2,3,5,6,21,3,30,35,11/30/2014
SW,W2,0,0,2,3,5,11,24,4,39,44,11/30/2014
SW,W3,0,1,0,0,1,10,28,8,46,47,11/30/2014
CITYWIDE,,3,11,140,165,319,608,2258,303,3169,3488,12/31/2014
UNKNOWN,,0,0,0,4,4,2,11,0,13,17,12/31/2014
NORTH,,0,3,36,37,76,226,570,111,907,983,12/31/2014
NORTH,B1,0,0,2,2,4,16,42,8,66,70,12/31/2014
NORTH,B2,0,1,3,5,9,20,34,6,60,69,12/31/2014
NORTH,B3,0,1,0,1,2,24,45,4,73,75,12/31/2014
NORTH,J1,0,0,0,1,1,15,26,13,54,55,12/31/2014
NORTH,J2,0,0,2,1,3,7,43,7,57,60,12/31/2014
NORTH,J3,0,0,0,1,1,20,35,4,59,60,12/31/2014
NORTH,L1,0,0,0,4,4,12,34,7,53,57,12/31/2014
NORTH,L2,0,0,3,4,7,12,28,6,46,53,12/31/2014
NORTH,L3,0,0,3,3,6,34,47,3,84,90,12/31/2014
NORTH,N1,0,0,3,3,6,17,45,8,70,76,12/31/2014
NORTH,N2,0,0,1,3,4,4,23,9,36,40,12/31/2014
NORTH,N3,0,0,8,0,8,8,55,12,75,83,12/31/2014
NORTH,U1,0,0,4,3,7,16,25,12,53,60,12/31/2014
NORTH,U2,0,0,4,3,7,13,66,4,83,90,12/31/2014
NORTH,U3,0,1,3,3,7,8,22,8,38,45,12/31/2014
WEST,,1,2,46,51,100,141,772,42,955,1055,12/31/2014
WEST,D1,0,0,1,5,6,19,68,5,92,98,12/31/2014
WEST,D2,0,0,3,2,5,6,44,5,55,60,12/31/2014
WEST,D3,0,0,3,5,8,17,57,2,76,84,12/31/2014
WEST,K1,0,1,4,8,13,6,84,3,93,106,12/31/2014
WEST,K2,1,0,7,8,16,5,54,5,64,80,12/31/2014
WEST,K3,0,0,7,8,15,12,61,0,73,88,12/31/2014
WEST,M1,0,0,3,2,5,9,51,4,64,69,12/31/2014
WEST,M2,0,0,10,3,13,11,138,2,151,164,12/31/2014
WEST,M3,0,1,6,8,15,10,97,4,111,126,12/31/2014
WEST,Q1,0,0,0,1,1,21,38,3,62,63,12/31/2014
WEST,Q2,0,0,1,0,1,20,35,5,60,61,12/31/2014
WEST,Q3,0,0,1,1,2,5,45,4,54,56,12/31/2014
EAST,,0,1,26,30,57,88,446,27,561,618,12/31/2014
EAST,C1,0,0,0,6,6,14,43,4,61,67,12/31/2014
EAST,C2,0,0,5,4,9,9,31,1,41,50,12/31/2014
EAST,C3,0,0,0,0,0,18,66,1,85,85,12/31/2014
EAST,E1,0,0,0,3,3,11,27,5,43,46,12/31/2014
EAST,E2,0,0,4,6,10,4,104,3,111,121,12/31/2014
EAST,E3,0,1,9,2,12,4,22,5,31,43,12/31/2014
EAST,G1,0,0,4,3,7,8,36,3,47,54,12/31/2014
EAST,G2,0,0,3,5,8,13,63,4,80,88,12/31/2014
EAST,G3,0,0,1,1,2,7,54,1,62,64,12/31/2014
SOUTH,,2,3,21,28,54,84,266,74,424,478,12/31/2014
SOUTH,O1,0,0,2,0,2,8,37,10,55,57,12/31/2014
SOUTH,O2,0,1,2,0,3,11,53,3,67,70,12/31/2014
SOUTH,O3,1,1,2,2,6,8,20,7,35,41,12/31/2014
SOUTH,R1,0,0,1,8,9,10,40,9,59,68,12/31/2014
SOUTH,R2,0,1,2,1,4,15,20,6,41,45,12/31/2014
SOUTH,R3,0,0,1,3,4,12,28,5,45,49,12/31/2014
SOUTH,S1,0,0,5,3,8,6,28,11,45,53,12/31/2014
SOUTH,S2,1,0,4,8,13,6,19,16,41,54,12/31/2014
SOUTH,S3,0,0,2,3,5,8,21,7,36,41,12/31/2014
SW,,0,2,11,15,28,67,193,49,309,337,12/31/2014
SW,F1,0,0,1,3,4,9,24,1,34,38,12/31/2014
SW,F2,0,0,2,1,3,7,36,12,55,58,12/31/2014
SW,F3,0,0,2,7,9,19,30,16,65,74,12/31/2014
SW,W1,0,0,0,1,1,4,27,4,35,36,12/31/2014
SW,W2,0,0,5,2,7,15,29,4,48,55,12/31/2014
SW,W3,0,2,1,1,4,13,47,12,72,76,12/31/2014
