PRECINCT,BEAT,HOMICIDE,RAPE,ROBBERY,ASSAULT,VIOLENT_CRIMES_TOTAL,BURGLARY,LARCENY_THEFT,VEHICLE_THEFT,PROPERTY_CRIMES_TOTAL,MAJOR_CRIMES_TOTAL,REPORT_DATE
NORTH,N2,0,1,1,2,4,10,36,17,63,67,10/31/2014
NORTH,N3,0,0,3,0,3,15,69,24,108,111,10/31/2014
NORTH,U1,0,0,2,2,4,16,43,13,72,76,10/31/2014
NORTH,U2,0,0,6,6,12,11,71,14,96,108,10/31/2014
NORTH,U3,0,0,1,4,5,8,40,8,56,61,10/31/2014
WEST,,1,6,35,65,107,126,796,79,1001,1108,10/31/2014
WEST,D1,0,0,1,5,6,15,56,10,81,87,10/31/2014
WEST,D2,0,0,0,6,6,4,57,13,74,80,10/31/2014
WEST,D3,0,0,3,7,10,10,73,5,88,98,10/31/2014
WEST,K1,0,2,9,7,18,6,105,1,112,130,10/31/2014
WEST,K2,0,0,4,12,16,3,60,5,68,84,10/31/2014
WEST,K3,0,0,3,9,12,9,48,2,59,71,10/31/2014
WEST,M1,0,1,3,6,10,11,42,4,57,67,10/31/2014
WEST,M2,0,1,8,3,12,8,104,5,117,129,10/31/2014
WEST,M3,1,0,2,9,12,12,115,2,129,141,10/31/2014
WEST,Q1,0,1,0,0,1,17,33,10,60,61,10/31/2014
WEST,Q2,0,0,1,1,2,17,57,11,85,87,10/31/2014
WEST,Q3,0,1,1,0,2,14,46,11,71,73,10/31/2014
EAST,,0,3,17,50,70,76,428,71,575,645,10/31/2014
EAST,C1,0,0,1,1,2,9,45,15,69,71,10/31/2014
EAST,C2,0,0,6,9,15,4,46,8,58,73,10/31/2014
EAST,C3,0,0,0,2,2,10,42,4,56,58,10/31/2014
EAST,E1,0,0,0,7,7,8,46,7,61,68,10/31/2014
EAST,E2,0,1,5,14,20,6,99,10,115,135,10/31/2014
EAST,E3,0,0,1,5,6,5,40,9,54,60,10/31/2014
EAST,G1,0,1,2,5,8,7,29,5,41,49,10/31/2014
EAST,G2,0,1,2,4,7,10,40,7,57,64,10/31/2014
EAST,G3,0,0,0,3,3,17,41,6,64,67,10/31/2014
SOUTH,,2,2,17,35,56,109,273,77,459,515,10/31/2014
SOUTH,O1,0,0,0,5,5,11,26,22,59,64,10/31/2014
SOUTH,O2,0,0,4,6,10,6,33,4,43,53,10/31/2014
SOUTH,O3,0,0,3,3,6,8,21,8,37,43,10/31/2014
SOUTH,R1,0,1,1,6,8,10,46,8,64,72,10/31/2014
SOUTH,R2,0,0,1,2,3,12,35,8,55,58,10/31/2014
SOUTH,R3,0,0,1,2,3,19,39,6,64,67,10/31/2014
SOUTH,S1,0,1,3,4,8,9,23,8,40,48,10/31/2014
SOUTH,S2,0,0,4,6,10,25,29,8,62,72,10/31/2014
SOUTH,S3,2,0,0,1,3,9,21,5,35,38,10/31/2014
SW,,0,2,8,23,33,67,169,45,281,314,10/31/2014
SW,F1,0,0,0,1,1,6,18,4,28,29,10/31/2014
SW,F2,0,1,2,4,7,14,32,11,57,64,10/31/2014
SW,F3,0,1,1,4,6,18,40,15,73,79,10/31/2014
SW,W1,0,0,1,1,2,10,26,4,40,42,10/31/2014
SW,W2,0,0,1,2,3,7,24,8,39,42,10/31/2014
SW,W3,0,0,3,11,14,12,29,3,44,58,10/31/2014
CITYWIDE,,0,13,138,156,307,588,2204,386,3178,3485,11/30/2014
UNKNOWN,,0,1,2,1,4,1,8,0,9,13,11/30/2014
NORTH,,0,4,36,41,81,241,639,154,1034,1115,11/30/2014
NORTH,B1,0,0,3,2,5,17,42,4,63,68,11/30/2014
NORTH,B2,0,1,5,3,9,15,47,11,73,82,11/30/2014
NORTH,B3,0,1,3,1,5,19,43,18,80,85,11/30/2014
NORTH,J1,0,0,6,2,8,17,35,19,71,79,11/30/2014
NORTH,J2,0,0,0,2,2,7,48,12,67,69,11/30/2014
NORTH,J3,0,1,3,4,8,13,28,11,52,60,11/30/2014
NORTH,L1,0,0,1,8,9,16,28,4,48,57,11/30/2014
NORTH,L2,0,0,1,2,3,14,34,11,59,62,11/30/2014
NORTH,L3,0,0,0,2,2,31,32,8,71,73,11/30/2014
NORTH,N1,0,0,5,5,10,24,54,12,90,100,11/30/2014
NORTH,N2,0,0,0,0,0,11,32,9,52,52,11/30/2014
NORTH,N3,0,0,4,2,6,16,67,13,96,102,11/30/2014
NORTH,U1,0,0,1,0,1,17,37,10,64,65,11/30/2014
NORTH,U2,0,0,3,2,5,17,86,8,111,116,11/30/2014
NORTH,U3,0,1,1,6,8,7,26,4,37,45,11/30/2014
WEST,,0,3,41,39,83,96,769,54,919,1002,11/30/2014
WEST,D1,0,0,1,3,4,5,67,1,73,77,11/30/2014
WEST,D2,0,0,2,1,3,5,64,5,74,77,11/30/2014
WEST,D3,0,0,3,6,9,10,67,4,81,90,11/30/2014
WEST,K1,0,0,10,7,17,2,91,0,93,110,11/30/2014
WEST,K2,0,2,8,6,16,5,50,3,58,74,11/30/2014
WEST,K3,0,1,3,7,11,3,65,4,72,83,11/30/2014
WEST,M1,0,0,2,1,3,6,38,6,50,53,11/30/2014
WEST,M2,0,0,6,1,7,12,101,6,119,126,11/30/2014
WEST,M3,0,0,3,3,6,1,108,7,116,122,11/30/2014
WEST,Q1,0,0,0,2,2,22,34,4,60,62,11/30/2014
WEST,Q2,0,0,1,1,2,17,37,5,59,61,11/30/2014
WEST,Q3,0,0,2,1,3,8,47,9,64,67,11/30/2014
EAST,,0,2,26,38,66,82,375,54,511,577,11/30/2014
EAST,C1,0,0,2,2,4,4,39,8,51,55,11/30/2014
